"Country","age","1900","1905","1910","1915","1920","1925","1930","1935","1940","1945","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Afghanistan",0,"569.12","577.75","586.51","595.41","604.44","613.61","622.92","632.36","641.96","651.69",661.578,671.613,760.937,872.771,1004.622,1157.742,1234.896,1132.581,1178.171,1703.418,2042.084,2380.993,2600.535,2681.852,2765.103,3017.884,3220.151,3380.948,3418.817,3448.764,3494.839,3568.944,3632.993,3655.407,3647.951,3640.109,3647.592,3671.038,3695.744,3711.145,3717.796
"Afghanistan",5,"109.89","127.54","148.02","171.80","199.39","231.41","268.58","311.72","361.79","419.89",487.335,565.608,583.953,672.144,780.938,910.296,974.683,899.273,951.095,1345.949,1603.445,1992.388,2309.286,2557.559,2641.593,2732.908,2989.868,3196.154,3359.837,3400.693,3432.415,3479.957,3555.208,3619.977,3643.135,3636.426,3629.185,3637.09,3660.928,3685.956,3701.702
"Afghanistan",10,"158.49","174.85","192.90","212.81","234.78","259.02","285.76","315.26","347.81","383.71",423.326,467.028,544.194,563.999,651.273,759.126,810.781,731.64,785.343,1113.734,1296.308,1602.704,1959.068,2298.757,2540.45,2626.981,2719.648,2977.71,3184.801,3349.322,3390.857,3423.174,3471.233,3546.771,3611.819,3635.277,3628.867,3621.851,3629.93,3653.93,3679.123
"Afghanistan",15,"149.82","163.97","179.45","196.40","214.94","235.24","257.45","281.77","308.37","337.49",369.363,404.242,447.872,524.011,544.949,631.436,674.34,599.334,631.182,918.845,1042.985,1336,1503.682,1980.573,2251.504,2496.199,2581.513,2677.61,2936.353,3144.267,3309.398,3351.659,3384.601,3433.06,3508.906,3574.257,3598.01,3591.898,3585.144,3593.468,3617.663
"Afghanistan",20,"132.29","144.44","157.70","172.17","187.98","205.23","224.07","244.64","267.10","291.62",318.392,347.62,382.542,426.07,500.714,523.026,558.666,492.949,509.197,744.539,831.93,1106.633,1188.683,1545.4,1909.206,2183.645,2424.645,2515.114,2612.802,2872.389,3081,3246.728,3289.89,3323.448,3372.436,3448.7,3514.444,3538.58,3532.869,3526.484,3535.149
"Afghanistan",25,"116.76","127.07","138.30","150.53","163.83","178.31","194.06","211.21","229.88","250.19",272.299,296.362,325.664,360.615,403.74,476.939,462.709,412.862,415.684,604.642,680.892,864.815,1013.511,1204.591,1498.59,1863.174,2135.583,2379.348,2471.607,2570.905,2830.801,3039.879,3206.216,3250.143,3284.416,3333.995,3410.733,3476.832,3501.437,3496.231,3490.313
"Afghanistan",30,"105.54","114.20","123.57","133.70","144.67","156.54","169.38","183.27","198.30","214.57",232.168,251.212,275.401,304.752,339.44,382.252,420.632,348.331,350.137,493.331,562.956,687.743,819.307,1008.262,1179.138,1472.84,1835.687,2109.043,2353.411,2447.304,2547.604,2807.638,3017.138,3183.844,3228.601,3263.665,3313.875,3391.049,3457.578,3482.708,3478.11
"Afghanistan",35,"95.55","102.73","110.46","118.77","127.70","137.31","147.64","158.74","170.68","183.52",197.326,212.169,231.431,255.687,284.775,319.244,329.31,317.55,297.978,408.266,461.895,560.714,657.692,809.018,988.22,1159.328,1451.501,1813.245,2086.488,2331.194,2426.245,2527.538,2787.585,2997.235,3164.379,3210.052,3246.005,3296.902,3374.594,3441.68,3467.49
"Afghanistan",40,"84.72","90.68","97.06","103.88","111.19","119.01","127.38","136.34","145.93","156.19",167.179,178.937,194.047,213.408,237.393,266.21,270.884,231.98,271.604,339.432,381.65,455.796,536.591,646.068,790.703,968.992,1139.311,1429.766,1789.354,2061.993,2306.366,2402.597,2504.935,2764.632,2974.406,3142.008,3188.81,3225.819,3277.596,3356.01,3423.846
"Afghanistan",45,"74.35","79.28","84.53","90.13","96.10","102.47","109.26","116.50","124.22","132.45",141.22,150.576,162.562,177.755,196.848,220.485,223.023,182.913,189.926,305.389,314.363,374.261,433.278,523.926,627.51,770.618,946.758,1115.867,1403.332,1759.487,2030.542,2274.101,2371.531,2474.869,2733.947,2943.732,3111.837,3160.101,3198.609,3251.657,3331.115
