"Country","age","1900","1905","1910","1915","1920","1925","1930","1935","1940","1945","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Afghanistan",0,"269.85","293.73","319.72","348.02","378.81","412.33","448.82","488.54","531.77","578.82",630.044,685.797,780.47,897.926,1036.977,1198.819,1285.49,1187.562,1234.305,1811.602,2124.163,2517.197,2715.07,2819.062,2907.406,2980.545,3020.571,3033.665,3016.717,2967.416,2889.793,2808.225,2717.952,2616.813,2511.831,2410.04,2311.603,2218.039,2127.868,2040.48,1956.655
"Afghanistan",5,"323.06","338.57","354.81","371.83","389.68","408.37","427.97","448.5","470.02","492.57",516.206,540.974,598.721,691.777,806.051,942.457,1016.764,951.812,1007.595,1463.449,1688.904,2092.867,2423.963,2670.894,2774.63,2871.083,2949.438,2993.794,3010.332,2996.248,2949.467,2874.114,2794.364,2705.717,2606.1,2502.156,2401.192,2303.457,2210.523,2120.857,2033.92
"Afghanistan",10,"217.1","234.1","252.43","272.19","293.51","316.49","341.27","367.99","396.81","427.88",461.378,497.504,523.122,580.789,672.885,786.157,845.387,776.849,839.658,1222.135,1405.116,1691.895,2053.118,2415.683,2651.664,2757.422,2854.989,2934.771,2980.248,2997.764,2984.602,2938.709,2864.168,2785.176,2697.242,2598.267,2494.887,2394.398,2297.11,2204.521,2115.137
"Afghanistan",15,"218.89","233.32","248.69","265.08","282.55","301.17","321.01","342.17","364.72","388.75",414.369,441.675,478.075,504.439,561.845,653.094,703.33,636.386,677.505,1016.028,1149.709,1440.321,1599.236,2081.987,2377.941,2615.736,2720.869,2820.786,2901.597,2948.121,2966.653,2954.462,2909.51,2835.931,2757.845,2670.744,2572.506,2469.804,2369.952,2273.163,2181.019
"Afghanistan",20,"259.05","268.74","278.8","289.24","300.07","311.31","322.96","335.05","347.6","360.61",374.109,388.115,415.97,452.635,479.707,536.838,581.129,521.514,544.963,820.453,921.62,1216.718,1278.489,1669.637,2017.279,2315.119,2549.499,2658.53,2759.778,2841.909,2889.852,2909.722,2898.859,2855.313,2783.217,2706.434,2620.558,2523.444,2421.817,2322.825,2226.797
"Afghanistan",25,"154.07","165.82","178.46","192.08","206.73","222.49","239.46","257.73","277.38","298.54",321.311,345.818,361.15,389.562,426.308,454.266,477.105,435.754,441.632,661.567,734.778,980.794,1069.443,1339.11,1610.796,1958.966,2252.997,2489.931,2600.376,2702.967,2786.444,2835.758,2856.978,2847.585,2805.621,2735.075,2659.634,2575.019,2479.141,2378.522,2280.406
"Afghanistan",30,"146.96","156.53","166.73","177.6","189.17","201.5","214.63","228.61","243.51","259.38",276.279,294.282,319.216,335.763,364.49,401.426,400.293,365.348,371.679,538.299,599.498,768.15,885.605,1098.387,1299.121,1571.072,1915.849,2210.542,2447.614,2559.264,2663.046,2747.686,2798.242,2820.815,2812.919,2772.437,2703.309,2629.169,2545.799,2450.961,2351.266
"Afghanistan",35,"142.02","149.47","157.31","165.56","174.24","183.38","193","203.12","213.78","224.99",236.792,249.212,267.882,293.115,310.553,339.635,345.914,300.157,314.487,442.658,492.828,613.43,706.162,894.433,1068.167,1268.984,1538.555,1882.184,2176.033,2413.048,2525.818,2630.716,2716.514,2768.442,2792.589,2786.279,2747.394,2679.834,2607.193,2525.058,2431.38
"Afghanistan",40,"131.39","137.07","142.99","149.18","155.63","162.35","169.37","176.69","184.33","192.3",200.616,209.289,222.625,241.745,266.88,285.18,284.447,243.218,254.146,363.77,405.623,493.703,569.595,703.152,868.02,1041.054,1239.998,1507.884,1848.856,2141.196,2377.728,2491.584,2597.595,2684.757,2738.418,2764.426,2760.084,2723.226,2657.78,2586.906,2506.433
"Afghanistan",45,"209.98","206.37","202.82","199.33","195.9","192.53","189.21","185.96","182.76","179.62",176.525,173.488,183.174,197.085,216.167,241.048,233.149,184.713,196.983,295.75,329.054,399.524,457.356,559.046,677.226,839.809,1010.182,1206.791,1471.054,1807.497,2096.904,2332.02,2446.798,2553.989,2642.858,2698.667,2727.234,2725.648,2691.888,2629.378,2561.244
